epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
44,98.5207,0.36798,0.4598,0.83629,0.99747,1,0.995,0.95913,0.26244,0.27124,0.79324,0.0011486,0.0011486,0.0011486
45,100.839,0.38426,0.46428,0.84651,0.99748,1,0.995,0.94981,0.37782,0.3515,0.80055,0.0011288,0.0011288,0.0011288
46,102.838,0.36674,0.44337,0.84972,0.99749,1,0.995,0.88878,0.49626,0.29594,0.80745,0.001109,0.001109,0.001109
47,104.872,0.38437,0.44711,0.85252,0.99748,1,0.995,0.96953,0.27655,0.30512,0.79606,0.0010892,0.0010892,0.0010892
48,107.246,0.38949,0.451,0.85308,0.99736,1,0.995,0.96147,0.31249,0.29932,0.79869,0.0010694,0.0010694,0.0010694
49,109.266,0.38,0.45619,0.8428,0.9973,1,0.995,0.95341,0.29644,0.28506,0.80242,0.0010496,0.0010496,0.0010496
50,111.318,0.38503,0.44351,0.86374,0.99703,1,0.995,0.96822,0.30093,0.28759,0.78795,0.0010298,0.0010298,0.0010298
51,113.647,0.36264,0.42606,0.84161,0.99721,1,0.995,0.9497,0.30814,0.2878,0.79348,0.00101,0.00101,0.00101
52,115.84,0.36711,0.43154,0.8539,0.99725,1,0.995,0.9602,0.3077,0.28727,0.79815,0.0009902,0.0009902,0.0009902
53,118.006,0.35484,0.41731,0.83789,0.99723,1,0.995,0.95558,0.28862,0.25002,0.79661,0.0009704,0.0009704,0.0009704
54,120.056,0.32355,0.40066,0.83738,0.9973,1,0.995,0.96823,0.27681,0.27721,0.7899,0.0009506,0.0009506,0.0009506
55,122.069,0.32341,0.38365,0.82457,0.99734,1,0.995,0.95256,0.28498,0.28399,0.79247,0.0009308,0.0009308,0.0009308
56,124.367,0.32491,0.38471,0.84855,0.99733,1,0.995,0.96321,0.27955,0.26005,0.78758,0.000911,0.000911,0.000911
57,126.558,0.33446,0.38633,0.84648,0.99726,1,0.995,0.93766,0.31163,0.3034,0.81333,0.0008912,0.0008912,0.0008912
58,128.885,0.33591,0.40044,0.8467,0.99726,1,0.995,0.9375,0.29858,0.29594,0.81764,0.0008714,0.0008714,0.0008714
59,131.23,0.30582,0.37226,0.83616,0.99713,1,0.995,0.94346,0.29875,0.2912,0.78895,0.0008516,0.0008516,0.0008516
60,133.502,0.30884,0.39289,0.83795,0.99699,1,0.995,0.92995,0.30944,0.29344,0.81222,0.0008318,0.0008318,0.0008318
61,136.033,0.31014,0.36014,0.84123,0.99699,1,0.995,0.94217,0.34198,0.31175,0.83081,0.000812,0.000812,0.000812
62,138.251,0.3238,0.37506,0.83283,0.9973,1,0.995,0.97704,0.26208,0.27788,0.79557,0.0007922,0.0007922,0.0007922
63,140.61,0.32478,0.37325,0.84242,0.99737,1,0.995,0.97695,0.233,0.2623,0.79112,0.0007724,0.0007724,0.0007724
64,142.818,0.31845,0.34799,0.84327,0.99745,1,0.995,0.96844,0.29369,0.27673,0.8003,0.0007526,0.0007526,0.0007526
65,145.054,0.32958,0.3612,0.83541,0.99741,1,0.995,0.97204,0.26293,0.26952,0.79072,0.0007328,0.0007328,0.0007328
66,147.553,0.30919,0.36225,0.84801,0.99717,1,0.995,0.96983,0.22945,0.2455,0.78327,0.000713,0.000713,0.000713
67,149.913,0.30282,0.34766,0.84031,0.99722,1,0.995,0.97747,0.23375,0.25108,0.78758,0.0006932,0.0006932,0.0006932
68,152.399,0.31966,0.36711,0.83969,0.99732,1,0.995,0.98104,0.26275,0.29074,0.78989,0.0006734,0.0006734,0.0006734
69,154.622,0.29246,0.34518,0.84242,0.99735,1,0.995,0.98777,0.22207,0.26963,0.78509,0.0006536,0.0006536,0.0006536
70,156.799,0.30082,0.33443,0.83401,0.9974,1,0.995,0.995,0.24327,0.27339,0.7845,0.0006338,0.0006338,0.0006338
71,159.038,0.29243,0.33833,0.84911,0.99745,1,0.995,0.97654,0.25134,0.25374,0.78758,0.000614,0.000614,0.000614
